assay_id	#cmpd	assay_type	target_family
159279	71	B	Phenotypic
159458	53	B	Proteinase
159742	95	B	Phenotypic
159749	69	B	Phenotypic
159750	84	B	Phenotypic
159768	106	B	Phenotypic
160234	89	B	Kinase
161563	111	B	Phenotypic
161891	62	B	Kinase
162369	76	B	Kinase
162397	54	B	Kinase
162732	61	F	GPCR
162869	74	F	GPCR
162870	76	F	Phenotypic
164620	56	F	Phenotypic
164909	58	F	Phenotypic
164985	111	F	Phenotypic
165068	61	F	Phenotypic
165094	75	F	Phenotypic
176323	68	F	Phenotypic
177012	50	F	Phenotypic
177042	75	F	Phenotypic
177043	63	F	Phenotypic
177423	79	F	GPCR
177567	69	F	Phenotypic
177778	51	F	Phenotypic
184421	53	F	Ion channel
192642	54	F	Phenotypic
193333	54	B	Phenotypic
193336	55	B	Phenotypic
193337	53	B	Phenotypic
193661	51	F	Phenotypic
194806	54	F	Phenotypic
195069	63	B	Phenotypic
195078	72	B	Phenotypic
195220	118	B	Phenotypic
195360	67	B	Phenotypic
195374	55	B	Phenotypic
195514	70	B	Phenotypic
195521	67	B	Phenotypic
195670	71	B	Phenotypic
195671	57	B	Phenotypic
197283	85	B	Phenotypic
198907	76	F	Phenotypic
198910	52	F	Phenotypic
199311	87	F	Phenotypic
199642	51	F	Phenotypic
199699	87	B	Phenotypic
199704	56	B	Phenotypic
200079	51	F	Phenotypic
200254	50	F	Phenotypic
201266	69	B	Phenotypic
201510	65	B	Phenotypic
201563	59	B	Phenotypic
201737	69	B	Phenotypic
201739	58	B	Phenotypic
201814	51	B	Phenotypic
201877	121	B	Phenotypic
201964	82	B	Phenotypic
202115	69	B	Phenotypic
202590	54	B	Kinase
202725	53	B	Phenotypic
202883	69	B	Phenotypic
204598	62	B	Phenotypic
204599	52	B	Phenotypic
205220	69	B	Phenotypic
205492	58	B	Phenotypic
206484	61	F	Phenotypic
206959	54	B	Kinase
207592	97	F	Phenotypic
207779	54	B	Phenotypic
207930	62	F	Phenotypic
207952	86	B	Proteinase
207997	95	B	Proteinase
208118	58	B	Phenotypic
208335	57	B	Proteinase
208672	69	B	GPCR
208754	71	B	Phenotypic
209062	88	B	Proteinase
209194	52	B	GPCR
209231	53	B	Proteinase
209245	50	F	GPCR
209251	77	B	GPCR
209254	63	F	GPCR
209473	67	B	Phenotypic
210045	76	B	Phenotypic
210407	64	B	Proteinase
210574	60	B	Proteinase
210578	109	F	Proteinase
210789	64	F	Phenotypic
210830	55	B	Proteinase
211078	63	B	GPCR
211079	143	B	GPCR
211254	142	B	GPCR
211948	59	B	Proteinase
212265	64	B	Phenotypic
212325	68	B	Proteinase
212394	63	F	Phenotypic
212403	59	F	Phenotypic
212750	67	B	Proteinase
212895	57	B	Proteinase
212923	54	F	Proteinase
213236	88	B	Proteinase
213372	65	B	Phenotypic
213809	85	B	Phenotypic
213817	56	B	Phenotypic
214387	57	B	GPCR
214499	53	B	Kinase
214553	64	B	GPCR
214674	51	F	Phenotypic
215007	64	B	GPCR
216035	150	B	Proteinase
216496	56	B	Phenotypic
216843	66	B	Kinase
216899	51	B	Ion channel
217000	55	B	Kinase
217173	64	B	Phenotypic
217189	73	B	Phenotypic
217297	70	B	Phenotypic
217298	59	B	Phenotypic
217323	64	B	Phenotypic
217761	54	B	Kinase
219471	61	B	Phenotypic
219472	61	B	Phenotypic
219473	61	B	Phenotypic
220427	60	F	Proteinase
221308	62	B	Kinase
221311	51	B	Kinase
221312	61	B	Kinase
221704	103	F	GPCR
223295	51	F	Phenotypic
224214	78	F	Phenotypic
224216	65	B	Phenotypic
302231	52	B	Phenotypic
302286	107	B	Proteinase
302499	54	B	Proteinase
302524	91	B	Kinase
302621	50	B	Proteinase
302650	92	B	Kinase
302709	57	A	Phenotypic
302753	52	B	GPCR
302754	123	B	GPCR
302812	52	B	Phenotypic
302952	71	B	Phenotypic
303216	60	B	Phenotypic
303258	74	B	GPCR
303260	60	B	Phenotypic
303261	60	B	Phenotypic
303283	54	B	GPCR
303291	60	B	Phenotypic
303366	60	B	Phenotypic
303552	70	B	Ion channel
303563	91	B	GPCR
303638	86	B	Phenotypic
303657	97	B	Ion channel
303658	97	B	Ion channel
303659	97	B	Ion channel
303660	97	B	Ion channel
304008	66	B	Phenotypic
304036	84	B	GPCR
304038	100	B	GPCR
304044	85	B	GPCR
304131	100	B	NHR
304278	55	B	GPCR
304333	54	B	Phenotypic
304672	67	B	Phenotypic
304869	57	B	Phenotypic
304894	56	B	Kinase
304901	60	B	Proteinase
304902	60	B	Proteinase
304924	60	B	Proteinase
304931	87	B	Phenotypic
304976	59	B	Kinase
304987	61	B	Phenotypic
304989	96	B	Phenotypic
305003	71	B	Kinase
305050	55	B	Kinase
305065	53	B	Phenotypic
305100	99	B	Kinase
305174	66	B	Phenotypic
305204	51	B	Phenotypic
305283	59	B	Proteinase
305391	79	B	Phenotypic
305419	58	F	Phenotypic
305461	170	B	Phenotypic
305497	64	B	Phenotypic
305569	54	B	GPCR
305598	66	B	Phenotypic
305629	170	B	Phenotypic
305650	50	B	Proteinase
305652	50	B	Proteinase
305653	50	B	Proteinase
305729	170	B	Phenotypic
305784	59	F	Ion channel
305785	82	B	Kinase
305847	60	B	Phenotypic
306073	58	B	Proteinase
306176	52	B	Phenotypic
306221	52	B	Phenotypic
306229	69	B	NHR
306245	69	B	NHR
306314	50	B	GPCR
306315	50	B	GPCR
306447	106	B	NHR
306463	105	B	NHR
306492	50	B	Phenotypic
306549	59	B	Phenotypic
306551	59	B	Phenotypic
306667	63	B	Kinase
306735	55	B	Phenotypic
306739	54	B	GPCR
306744	65	B	GPCR
306777	62	B	Kinase
306801	53	B	GPCR
306908	52	B	Proteinase
307251	55	B	Phenotypic
307259	168	B	Phenotypic
307260	168	B	Phenotypic
307261	56	B	Phenotypic
307263	168	B	Phenotypic
307267	53	B	Phenotypic
310453	72	F	Phenotypic
310682	85	F	Phenotypic
311591	53	F	Phenotypic
311595	53	F	Phenotypic
311620	93	F	Phenotypic
311637	57	F	Phenotypic
311816	58	F	Phenotypic
311855	77	F	Phenotypic
311895	77	F	Phenotypic
311896	76	F	Phenotypic
311931	52	F	Phenotypic
311952	56	F	Phenotypic
311953	56	F	Phenotypic
312106	55	F	Phenotypic
312127	60	F	Phenotypic
312381	50	F	Phenotypic
312827	53	F	Phenotypic
312864	61	F	Ion channel
312866	50	F	Phenotypic
312923	62	F	Ion channel
312997	77	F	Kinase
313008	77	F	Kinase
313055	62	F	Kinase
320876	69	B	GPCR
321440	81	B	Phenotypic
321446	76	B	Phenotypic
321517	61	B	Phenotypic
321538	67	B	Phenotypic
321562	66	B	Phenotypic
321617	64	B	Kinase
321621	50	B	GPCR
321687	76	B	NHR
325792	57	B	Proteinase
325793	57	B	Proteinase
325794	57	B	Proteinase
325795	57	B	Proteinase
326138	66	B	Kinase
326139	58	B	Kinase
326140	53	B	Kinase
326472	128	B	Phenotypic
326537	66	F	GPCR
326539	62	F	GPCR
327340	56	F	Phenotypic
327341	56	F	Phenotypic
327342	56	F	Phenotypic
327343	55	F	Phenotypic
327344	56	F	Phenotypic
327488	69	B	NHR
327489	69	B	NHR
329662	54	B	Phenotypic
330184	70	F	Phenotypic
330270	146	B	GPCR
330271	132	B	GPCR
330651	113	B	Phenotypic
330757	72	B	Phenotypic
331194	51	B	Ion channel
331362	63	B	GPCR
331630	59	F	GPCR
331786	53	B	Phenotypic
333106	62	B	Phenotypic
334895	57	F	Ion channel
334961	58	F	Phenotypic
336476	56	B	Phenotypic
340343	60	B	NHR
340344	60	B	NHR
342731	58	F	Phenotypic
345663	54	F	GPCR
346634	50	F	Phenotypic
347197	54	B	Kinase
353243	50	B	Kinase
355040	77	B	Kinase
355136	56	B	Phenotypic
358800	100	F	Phenotypic
361059	50	B	GPCR
363242	56	B	Kinase
363667	56	B	GPCR
363879	59	F	Phenotypic
363882	71	F	Phenotypic
364154	58	B	GPCR
364425	78	F	Ion channel
364426	78	F	Ion channel
364710	72	B	Phenotypic
366820	50	B	Phenotypic
366821	50	B	Phenotypic
367908	104	B	Proteinase
367909	104	F	Phenotypic
367910	78	F	Phenotypic
370710	51	B	GPCR
370934	58	F	Phenotypic
371466	70	B	NHR
373919	54	B	Proteinase
373920	54	B	Proteinase
373922	54	B	Proteinase
373923	54	B	Proteinase
375257	60	B	GPCR
376788	54	F	GPCR
379744	76	B	Kinase
379746	74	F	Phenotypic
379860	55	B	GPCR
379935	103	B	Kinase
379936	103	B	Kinase
382037	66	F	GPCR
383093	61	B	Kinase
384211	53	B	GPCR
389002	50	F	Phenotypic
390501	50	B	Kinase
391331	55	B	GPCR
393313	62	B	GPCR
393314	62	B	GPCR
396848	62	F	Phenotypic
396849	62	F	Phenotypic
396850	62	F	Phenotypic
397859	52	B	GPCR
398818	59	B	GPCR
402775	50	B	GPCR
404277	64	F	Ion channel
404278	62	F	Ion channel
404671	81	F	Phenotypic
404673	51	F	Phenotypic
404874	53	B	GPCR
407359	91	B	NHR
409105	52	B	Kinase
416386	62	B	Phenotypic
417161	61	B	Phenotypic
417162	61	B	Phenotypic
420098	56	F	Kinase
421230	54	B	GPCR
422201	54	F	Phenotypic
422463	68	F	GPCR
424022	58	F	Phenotypic
424574	51	F	Kinase
424955	56	B	Proteinase
425511	52	B	Ion channel
425512	53	B	Ion channel
425699	61	B	GPCR
425700	61	B	GPCR
425703	61	B	GPCR
425772	59	B	GPCR
428014	89	F	NHR
428015	89	F	NHR
428016	85	F	NHR
428054	106	B	Phenotypic
428114	55	F	Ion channel
428500	73	B	Phenotypic
428502	63	B	Phenotypic
428967	242	A	Phenotypic
429163	156	B	Phenotypic
429363	88	B	Kinase
429455	66	B	GPCR
429503	65	B	Phenotypic
429504	65	B	Phenotypic
429505	65	B	Phenotypic
429507	65	B	Phenotypic
429600	59	B	GPCR
429753	51	B	GPCR
429755	51	B	GPCR
430066	50	B	Phenotypic
430747	57	B	Kinase
430786	116	B	GPCR
430957	59	F	Phenotypic
430991	52	F	GPCR
430992	52	F	GPCR
432102	103	F	Phenotypic
434528	52	B	Kinase
435461	59	B	Phenotypic
435462	51	F	Phenotypic
435551	61	B	GPCR
436468	56	B	Phenotypic
437192	88	B	GPCR
438898	58	B	Kinase
438936	53	B	Phenotypic
438974	54	B	Proteinase
438975	54	B	Proteinase
439367	111	B	Phenotypic
440136	70	B	Proteinase
440669	65	F	Phenotypic
440670	66	F	Phenotypic
440674	56	F	Phenotypic
441960	53	B	Phenotypic
442727	52	F	Phenotypic
443964	57	B	GPCR
443965	53	B	GPCR
443966	53	B	GPCR
443967	53	B	GPCR
444873	94	B	Proteinase
446136	51	B	Proteinase
446180	52	B	Phenotypic
446257	57	B	GPCR
447747	53	B	GPCR
447824	65	B	Proteinase
448200	57	B	GPCR
448557	85	B	Ion channel
448646	64	F	Phenotypic
448691	158	B	GPCR
448693	158	B	GPCR
448695	155	B	GPCR
450275	59	F	Phenotypic
450707	51	B	GPCR
451119	102	B	Phenotypic
451490	51	A	Phenotypic
452327	60	F	Phenotypic
452413	87	B	Phenotypic
452746	55	F	Phenotypic
452894	59	F	Phenotypic
452895	59	F	Phenotypic
452896	56	F	Phenotypic
452897	57	F	Phenotypic
453152	56	B	Kinase
453490	64	B	Kinase
453677	70	B	Phenotypic
453895	72	B	Kinase
453896	72	B	Kinase
453897	72	F	Kinase
454117	52	F	GPCR
454273	54	B	Phenotypic
454312	52	F	Phenotypic
455131	53	F	Phenotypic
455329	61	F	NHR
455393	51	B	Kinase
456071	80	B	Phenotypic
456072	80	B	Phenotypic
456311	50	B	Kinase
456312	50	B	Kinase
456313	50	F	Phenotypic
456571	57	F	Phenotypic
456580	76	B	Kinase
457234	109	F	Phenotypic
457263	70	B	GPCR
457662	55	B	Kinase
457824	51	B	Phenotypic
457825	51	B	Phenotypic
457860	51	B	Ion channel
458068	58	B	GPCR
458193	53	B	Phenotypic
458669	73	B	GPCR
458680	52	F	Phenotypic
458907	50	B	Phenotypic
458930	129	B	Proteinase
458931	76	B	Proteinase
458932	50	B	Proteinase
458933	70	B	Proteinase
458939	61	B	Proteinase
458976	54	A	Phenotypic
459042	65	B	NHR
459043	65	B	NHR
459936	53	B	Phenotypic
459968	79	B	Proteinase
459969	79	B	Proteinase
459970	79	B	Proteinase
459971	79	B	Proteinase
460654	56	B	Proteinase
460656	56	B	Proteinase
460657	56	B	Proteinase
461060	107	F	Phenotypic
461138	57	B	GPCR
461948	84	F	Ion channel
462459	77	B	Phenotypic
464617	75	F	Phenotypic
464618	76	F	Phenotypic
464619	76	A	Phenotypic
464889	92	B	Phenotypic
464901	63	B	Phenotypic
465003	82	F	GPCR
465006	80	B	Ion channel
465460	55	F	Phenotypic
465461	56	A	Phenotypic
465974	50	B	Phenotypic
466158	64	B	NHR
466159	60	F	NHR
466211	54	F	Phenotypic
466212	54	F	Phenotypic
466615	151	B	Kinase
467654	62	B	Phenotypic
467655	51	B	Phenotypic
467656	59	F	Phenotypic
467683	55	B	GPCR
467917	105	F	GPCR
468017	89	B	Phenotypic
468834	62	B	Phenotypic
468873	64	F	Phenotypic
468962	65	B	Phenotypic
468964	68	B	Kinase
468974	67	B	Kinase
468975	94	B	Kinase
468986	126	B	Kinase
468987	53	F	Phenotypic
469299	54	F	Phenotypic
469356	51	F	Phenotypic
470053	64	B	GPCR
470054	62	F	GPCR
470061	51	B	Proteinase
471788	67	B	GPCR
471789	76	B	GPCR
472938	64	F	Phenotypic
472940	65	F	Phenotypic
472994	54	B	GPCR
472995	54	B	GPCR
472997	54	F	GPCR
473976	61	B	GPCR
474247	65	B	Phenotypic
474639	85	B	GPCR
475717	51	B	GPCR
477677	84	B	Ion channel
478840	55	B	GPCR
478938	113	B	Phenotypic
479713	65	B	GPCR
479714	65	B	GPCR
479968	50	B	Phenotypic
479969	50	B	Phenotypic
487985	76	F	Phenotypic
488009	79	B	Kinase
489239	63	F	GPCR
490576	59	B	Phenotypic
491561	68	B	Kinase
491716	56	B	Phenotypic
491717	57	B	Phenotypic
491718	57	B	Phenotypic
492001	54	B	Proteinase
492003	53	B	Proteinase
493369	76	B	GPCR
493905	155	B	Kinase
493931	63	F	Phenotypic
494689	97	B	Phenotypic
495622	58	B	Ion channel
495672	51	B	Phenotypic
496465	60	B	Phenotypic
496983	58	B	Phenotypic
498215	58	F	Ion channel
498487	58	F	Ion channel
498611	64	B	Phenotypic
498612	54	F	Phenotypic
499309	50	B	Kinase
499518	133	B	Kinase
500129	107	B	GPCR
500352	54	F	Phenotypic
500573	63	B	Proteinase
500574	63	B	Proteinase
500575	52	B	Proteinase
500906	62	B	Phenotypic
501795	53	B	Phenotypic
501796	53	B	Phenotypic
501800	53	F	Phenotypic
501801	53	F	Phenotypic
502048	57	B	Phenotypic
506200	59	B	Kinase
508163	245	B	Proteinase
510189	102	F	Phenotypic
510190	85	F	Phenotypic
510887	97	B	Phenotypic
510893	77	B	Phenotypic
511069	64	B	Kinase
511514	64	B	Phenotypic
512395	197	B	Kinase
513112	70	B	GPCR
